ID	sp10N2016	sp10N2017	sp10N2018	sp16N2016	sp16N2017	sp16N2018	sp1N2016	sp1N2017	sp1N2018	sp20N2016	sp20N2017	sp20N2018
Zotu1168	5		1	1	5	1		8		8	6	2
Zotu4807					2		1	6				
Zotu35390	1											
Zotu619	8		3	9	38	52	1	4		3	10	6
Zotu50379	4							2				
Zotu1001	51		5	6	12		20	4		7	1	
Zotu53591	1		1									
Zotu914	8	4		5	8		1	4	1	1		4
Zotu1736	1											
Zotu3793			1		1					2		
Zotu173	28	1	29	4	30	10	89	19	1	22	20	6
Zotu842	5	1	6	1			2	1			1	
Zotu11838	1		3					1				
Zotu23173					1							
Zotu6325	2		1	2	1		5			7	3	
Zotu99	37	20	72	52	25	10	86	40	11	141	167	9
Zotu21960	1				1		1					
Zotu215	20	1	5	18	32	13	1	7		10	17	8
Zotu7841	2							1				
Zotu514	10			59	20	35	2	5	5	3	16	4
Zotu1126	34	1		16	4	1	8	3	1	22	1	1
Zotu540	6		1	1	1	6			1	1		4
Zotu820	9	1	3	4	4		2	2	1		1	10
Zotu54	51	8	3	4	131		13	83	1	2	22	
Zotu1238	27		1			1		8				1
Zotu6661	5				5		1	1		1		
Zotu6052	4						3	1				
Zotu796	13		2	1	21		3	4	1		1	
Zotu410	36	1	35	3	65	9	72	21	2	2	32	4
Zotu3220	1		1		2		1	5			1	1
Zotu5731	2		2	3	4	1				2	2	2
Zotu50268				1		2	2	1	1	2	1	
Zotu15644	1										2	
Zotu17771	3					1						
Zotu5573	2		1	2		2	8	1	8	2	1	
Zotu16869	2			6								
Zotu9920	6				3		1	1			1	
Zotu1998	25			2	13		7	11		4		
Zotu1399	27		4	3			7	7		43	2	
Zotu783	9		7		6	2	12	9		11	9	
Zotu385	18	1		298	24	65	31	5	3	47	152	
Zotu1842	1		1		1		3			1	2	
Zotu10555	3			2								1
Zotu5612	2			5	5							
Zotu1741	4		1		10	1	1	1		4		
Zotu14166	3									1		
Zotu9993	4	4	1	1								
Zotu933	2			1		1						
Zotu11444	1						2			1	1	
Zotu26592	1											1
Zotu1096	8		5	1	3		1				2	
Zotu1132	11	2		1	14	2	4	1		1	3	
Zotu43411	4											
Zotu14387	3						3			2	1	
Zotu17763	7											3
Zotu1057	23		2	4			7	5	1	13	2	
Zotu557	5		1	1	4		3	9	2	2		
Zotu595	3				8	6		3	4	1	4	2
Zotu13316	3			1								
Zotu40654	1											
Zotu106	27	10	24	10	81	376	11	10		38	17	23
Zotu1048	29	2	10	6	5	2	26	8		36	14	2
Zotu14610	2			2	10			2		1		
Zotu696	10	1	1	7	13	12	8	10	1	14	12	2
Zotu974	11	37	67	5	4	3	196	15	4	3	1	
Zotu8161	2											
Zotu1060	38		2	5		1	13	2		1	2	3
Zotu4266	3						8	1		5	4	1
Zotu1189	5		7		2	10	6	7		5	2	2
Zotu2012	9		6					2			2	1
Zotu6140	53	1					1					
Zotu1216	18	2	1		12		21	23		6	6	
Zotu7257	1		1									
Zotu807						1			2		2	1
Zotu139	6		6	5	58	10	25	33		38	28	6
Zotu4158	3		1		4		1	3		1	1	
Zotu2673	19			4	1	3				1		1
Zotu3207	5					1	1	1			1	
Zotu487	24	1	5	2	11	17	4	11		62	15	2
Zotu996	1			1			1	1	3			4
Zotu1648	9			1	12			13		4	1	
Zotu9915			1			1	1					
