"10N2016" "10N2017" "10N2018" "16N2016" "16N2017" "16N2018" "19N2016" "19N2017" "19N2018" "1N2016" "1N2017" "1N2018" "20N2016" "20N2017" "20N2018" "23N2016" "23N2017" "23N2018" "3N2016" "3N2017" "3N2018" "6N2016" "6N2017" "6N2018" "17soil10N" "17soil16N" "17soil19N" "17soil1N" "17soil20N" "17soil23N" "17soil3N" "17soil6N" "18soil10N" "18soil16N" "18soil19N" "18soil1N" "18soil20N" "18soil23N" "18soil3N" "18soil6N" "16soil10N" "16soil16N" "16soil19N" "16soil1N" "16soil20N" "16soil23N" "16soil3N" "16soil6N"
"Zotu1685" 1 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 7 0 0 0 0 0 2 0 0 0
"Zotu1620" 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 1
"Zotu468" 11 0 0 1 1 0 1 2 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 4 0 0 0 1 0 0 2 0 0 0 0 0 47 0 1 0 0 0
"Zotu525" 5 0 0 0 0 0 1 4 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 1 4 0 2 0 0 1 0 0 1 0 13
"Zotu2528" 2 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu182" 33 5 0 5 3 123 12 225 9 2 0 0 4 4 3 7 13 52 20 0 0 0 0 0 4 8 20 6 5 14 1 2 0 42 31 29 119 420 4 9 1 0 1 0 7 3 1 1
"Zotu122" 0 0 0 0 1 0 0 25 0 0 0 0 32 6 1 1 11 0 0 0 0 0 1 7 0 3 0 0 0 11 0 0 0 0 0 0 0 1 1 0 0 0 238 0 0 3 0 19
"Zotu400" 1 0 0 0 0 0 2 2 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3 2 3 5 4 126 2 4 22 2 2 144 0 0 0 1 3 3 1 0 1 0 0 4
"Zotu1450" 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu83" 5 10 4 47 68 15 110 108 23 1 2 3 155 64 37 21 45 67 1 1 121 0 1 0 2 1 9 0 7 14 1 0 14 3 15 0 18 13 1 0 2 0 0 0 4 2 0 0
"Zotu979" 11 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 3 0 0 0 0 0 0 6 1 0 0 3 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 4 0 2 3
"Zotu386" 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 4 1 1 0 0 1 0 0 0 0 0 1 0 6 2 0 0 0 0 0 0 1 4 0 0 0 0 0 0 0 0 7 0
"Zotu126" 11 0 0 0 0 0 2 0 0 0 0 0 1 0 0 1 236 1 34 0 1 2 2 2 14 0 1 2 0 0 6 0 3 0 0 0 0 0 0 0 0 0 0 50 0 820 2 12
"Zotu384" 0 0 0 0 0 1 1 6 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 2 2 0 2 3 0 7 2 2 0 0 0 2 0 9 1 0 0 0 0 74 1 80 14 1
"Zotu839" 7 0 0 0 10 0 0 0 0 1 1 0 0 0 0 0 1 1 3 0 0 0 0 0 2 6 2 1 0 0 0 0 0 0 0 0 0 0 1 2 0 2 0 0 0 0 0 0
"Zotu309" 37 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 2 6 4 0 11 3 0 29 53 0 21 1 4 10 0 5 6 1 3 0 3 1 0
"Zotu576" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 1 0 0 0 0 3 0 0 0 0 0 0 1 54 0 0 0 1 0 0 2 29 0 0 0 0 0 1 0 3
"Zotu1046" 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
"Zotu1018" 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 3 0 0 37 4 2 0 0 0 0 5 0 2 0 0 0 0 1 0 0 1 0 0
"Zotu84" 39 584 113 0 1 2 11 0 2 0 0 0 0 0 334 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu60" 25 0 0 0 0 0 1 33 9 0 2 0 15 44 0 5 0 1 1 0 1 0 0 0 0 5 89 215 0 5 0 0 0 0 1 1 0 2 0 1 0 0 0 0 6 129 8 0
"Zotu830" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 42 2 0 72 44 0 0 0 0 0 0 29 0 0 11 0 0 0 0 0
"Zotu620" 10 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 8 0 0 0 0 0 1 0 0 0 0 0 0 1 3 0 1 0 0 1 5 0 3 15
"Zotu747" 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 2 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Zotu547" 29 0 0 1 2 0 0 5 0 6 14 0 1 1 0 0 0 0 1 0 0 0 0 0 9 1 0 3 6 0 1 0 15 0 0 15 7 0 1 0 0 0 0 0 33 0 1 0
"Zotu500" 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 0 1 25 1 2 7 1 3 1 2 14 0 3 0 0 1 0 0 3 0 1
"Zotu152" 19 0 20 0 0 0 2 160 0 2 0 0 131 21 99 288 0 1 0 0 0 0 0 0 0 2 69 9 82 6 0 0 0 0 45 9 17 180 0 0 0 1 8 2 0 5 1 0
"Zotu2002" 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 1 2 0 14 4 1 0 0 2 1 0 0 2 0 1 4 0 0 0 0 0 0 0
"Zotu3792" 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu2718" 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu948" 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0
"Zotu2968" 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu975" 2 0 0 0 19 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu1426" 11 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1
"Zotu281" 1 0 4 1 4 0 4 1 7 8 1 0 9 2 1 1 0 1 31 0 0 46 1 6 10 3 1 6 3 9 2 26 27 11 1 8 1 20 1 0 40 4 5 10 2 4 0 2
"Zotu51" 4 0 5 0 0 0 0 0 0 12 4 0 0 0 0 0 0 0 20 0 1 0 0 1 185 0 3 51 1 9 91 6 367 0 0 20 0 5 8 57 120 0 0 1 0 6 116 0
"Zotu259" 21 0 0 0 0 0 2 2 11 85 0 0 21 0 1 7 24 0 33 0 0 0 0 5 1 0 0 6 4 1 1 0 1 2 2 0 1 3 0 1 7 1 2 0 2 2 19 0
"Zotu4300" 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu361" 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 10 1 1 0 0 7 5 0 1 26 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 12 213
"Zotu1036" 5 0 0 0 0 0 5 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 1 1 0 1 1
"Zotu847" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3
"Zotu356" 4 10 0 11 1 4 2 0 20 3 2 54 5 11 47 6 6 37 4 2 1 29 69 70 0 11 1 0 2 0 1 0 0 3 2 1 0 0 0 0 0 0 0 2 0 0 0 1
"Zotu261" 5 0 0 0 3 0 1 5 0 1 0 0 0 1 0 0 10 1 1 0 3 0 0 4 2 0 3 1 0 20 4 0 17 2 2 3 1 14 16 23 0 0 2 2 0 29 6 4
"Zotu160" 15 0 0 4 10 0 1 0 0 11 16 0 2 1 1 0 0 0 0 0 0 0 0 0 16 8 3 2 1 0 0 0 19 6 1 102 0 0 0 0 0 0 12 5 358 19 0 1
"Zotu155" 9 1 1 0 22 0 1 17 1 1 48 0 7 18 0 0 1 0 2 0 4 0 0 0 42 40 145 15 13 3 10 0 29 39 0 42 0 12 24 5 8 9 2 8 2 1 15 0
"Zotu56" 10 13 26 45 17 8 137 209 116 0 2 0 29 113 118 84 109 166 1 9 52 3 1 250 0 7 19 2 8 4 1 9 2 5 22 2 0 1 2 8 0 0 1 138 0 1 1 0
"Zotu171" 12 1 0 0 1 0 3 23 3 0 0 0 0 4 0 0 6 3 0 0 0 0 0 3 14 1 71 0 11 60 3 12 21 3 5 1 4 48 1 8 4 0 2 0 0 4 0 0
"Zotu459" 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0
"Zotu398" 1 0 0 0 0 0 0 0 0 5 10 0 3 0 0 0 0 0 1 0 0 0 0 0 3 4 4 5 6 12 7 47 6 3 0 73 11 2 9 52 0 0 2 3 4 0 27 0
"Zotu5339" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu232" 3 0 0 1 0 1 0 0 0 46 0 0 1 0 1 3 1 1 0 0 0 0 0 18 2 0 3 4 16 14 4 1 2 20 2 8 6 10 5 6 6 5 6 2 6 6 18 5
"Zotu138" 9 0 0 0 0 0 1 69 0 20 2 0 336 220 0 0 3 0 0 0 0 0 0 0 3 0 0 1 3 0 30 0 0 0 0 0 0 0 0 0 1 0 0 0 0 6 0 0
"Zotu46" 2 0 0 1 15 0 5 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 42 32 131 0 11 1240 1198 1 265 153 1 15 1 2 7 0 0 0 0 2 1 4 7
"Zotu405" 11 0 0 1 1 0 2 7 9 4 7 0 0 0 0 0 0 1 0 0 0 559 0 0 0 3 23 351 0 2 0 40 0 0 12 40 2 8 0 0 0 0 4 0 0 0 0 2
"Zotu976" 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 2 0 0 4 0 0 0 0 0 0 0 0 1
"Zotu450" 25 0 0 2 0 0 2 3 0 1 0 0 3 0 0 1 0 2 0 0 0 0 0 0 3 0 1 1 1 0 3 0 0 0 1 0 0 0 0 0 0 0 25 0 2 1 0 2
"Zotu1192" 3 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0
"Zotu2396" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu4719" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 1 0
"Zotu4021" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu2575" 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu5134" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu1761" 1 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 2 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu5205" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0
"Zotu101" 20 0 1 0 0 0 0 0 0 0 0 0 9 0 11 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 3 0 2 0 0 0
"Zotu1758" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"Zotu301" 5 0 0 0 27 0 4 5 0 0 5 0 9 0 0 0 10 0 7 0 1 1 0 0 1 1 3 4 0 5 4 0 13 2 0 4 4 17 0 0 0 0 2 0 14 21 0 0
"Zotu700" 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 1 0 2 2 3 0 1 7 4 1 1 0 0 2 1 0 5 3 0 0 0 3 5
"Zotu345" 6 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 3 0 8 0 4 360 0 0 17 0 0 0 0 419 0 0 0 0 0 1 0 0 0
"Zotu1515" 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu602" 2 0 0 0 0 0 3 0 5 1 1 0 11 3 0 0 0 5 1 0 1 0 0 0 4 1 1 0 0 0 0 0 2 3 1 14 3 1 0 3 0 3 0 0 4 1 7 0
"Zotu1434" 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 1 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu778" 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0
"Zotu1579" 2 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0
"Zotu731" 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 33
"Zotu2907" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
"Zotu2179" 1 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"Zotu4298" 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 3 0 0 0 0 0 1 3 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu1206" 18 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Zotu326" 12 1 0 0 0 0 0 0 0 11 6 1 2 0 0 0 0 2 48 0 0 499 0 0 0 1 5 348 0 1 0 25 0 0 0 43 0 5 0 0 0 0 1 0 2 0 0 1
"Zotu4490" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
"Zotu181" 0 0 0 1 22 0 0 0 0 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 12 0 0 0 0 42 15 0 19 7 0 10 109
"Zotu512" 5 0 0 0 0 0 5 7 2 0 0 0 4 1 0 0 0 0 1 0 0 1 0 0 0 0 1 1 1 3 0 0 1 0 13 0 0 0 4 0 0 0 22 0 6 0 0 0
"Zotu197" 4 0 1 0 10 0 2 4 1 10 67 0 1 0 0 0 5 0 2 0 0 0 0 0 28 7 7 5 12 29 20 2 117 32 0 4 0 30 7 18 19 11 4 5 3 10 70 13
"Zotu3673" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
"Zotu279" 6 4 28 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 285 0 1 0 1 140 3 0 240 0 0 0 0 206 0 0 1 0 0 0 0 12 0 0
"Zotu495" 8 0 0 0 3 1 0 0 0 0 4 0 2 1 0 0 0 0 0 0 0 0 0 0 0 3 0 4 2 0 0 0 6 0 0 7 2 0 3 0 2 4 1 0 4 1 1 1
"Zotu1062" 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu2618" 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu2774" 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Zotu3924" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Zotu4847" 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 2 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu305" 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 11 0 0 0 0 1 1 0 0 0 0 0 0 0 8 0 0 0 0 0 23 39 0 0 2 0 2 1 6 30
"Zotu1193" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"Zotu327" 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 2 0 1 0 0 1 0 2 2 1 1 8 0 4 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 13 243
"Zotu1941" 2 0 0 0 2 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu4883" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu852" 4 0 0 0 2 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 3 8 0 1 0 0 2 1 0 3 2 1 0 2 3 1 0 5 0 2 3 0 1
"Zotu914" 1 0 0 0 1 0 0 0 0 1 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu1265" 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu1255" 4 0 0 0 0 0 0 0 0 4 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 9 4 6 4 5 0 0 9 16 6 5 2 1 0 0 0 0 5 0
"Zotu749" 1 0 0 0 6 0 0 4 0 1 0 0 4 0 0 0 0 0 2 0 0 0 0 0 2 1 0 1 0 4 0 1 1 0 0 5 0 0 0 0 2 0 0 1 0 1 0 1
"Zotu519" 10 0 0 0 0 0 2 16 3 0 0 0 0 0 0 0 4 3 1 0 1 1 0 0 0 1 27 1 0 3 4 2 1 0 2 10 0 5 2 0 0 0 11 0 0 2 0 17
"Zotu998" 0 0 0 0 1 0 0 7 0 0 1 0 1 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 4 8 4 6 2 2 3 0 1 3 9 3 0 0 1 1 0 1 0 0
"Zotu2039" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
"Zotu1394" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 1
"Zotu418" 15 0 1 0 9 0 0 0 0 2 7 0 1 0 0 0 11 0 0 0 0 0 0 0 0 14 2 1 3 5 9 1 3 0 0 2 0 4 1 4 1 3 0 0 6 0 1 21
"Zotu8" 7 12 1 0 366 2 146 1244 2 0 174 0 10 401 1 0 55 2 4 2 1 0 6 17 71 41 334 123 89 374 130 285 202 162 185 74 146 310 169 550 62 27 87 7 27 33 275 17
"Zotu1487" 3 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu248" 3 1 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 142 0 2 4 0 4 18 4 41 0 0 12 0 0 3 0 147 0 1 31 7 1 89 16
"Zotu307" 8 0 0 0 94 0 0 2 1 3 19 0 2 0 0 0 5 2 0 0 0 0 0 1 0 42 4 5 2 4 5 0 5 38 3 8 5 4 0 4 1 5 7 1 44 3 0 1
"Zotu488" 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 4 1 6 0 5 0 2 52 1 0 3 14 89 22 10 6 4 0 1 0 1 2 0 0
"Zotu851" 3 0 0 0 1 0 0 0 0 49 0 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 3 3 0 0 0 0 0 3 2 0 2 0 0 0 0 0 1 0
"Zotu1369" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu316" 10 0 0 0 4 0 1 8 1 1 0 0 0 3 1 0 2 1 0 0 0 0 0 1 55 5 28 11 4 25 10 12 2 1 5 7 1 14 2 6 14 7 10 0 0 1 7 1
"Zotu1166" 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 139 0 0 0 0 0 0 0 0 0
"Zotu1586" 11 0 0 4 0 0 0 0 0 0 0 0 1 0 0 0 0 0 3 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
"Zotu541" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 209
"Zotu260" 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 4 0 0 2 0 4 0 0 0 0 0 1 2 0 0 0 0 0 0 3 0
"Zotu795" 4 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 2 15 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 14 6
"Zotu265" 9 0 0 0 33 0 0 6 0 0 0 0 3 2 0 1 5 2 1 0 0 0 0 0 0 1 6 3 0 0 25 0 2 1 5 1 2 29 30 3 0 0 4 0 6 69 2 11
"Zotu668" 4 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 2 3 1 0 2 0 4 2 1 4 14 0 1 0 1 3 4 1 11 0 0 0 0 0 4
"Zotu61" 8 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 2 0 3 0 11 4 0 27 0 0 0 0 0 0 0 8 0 31 0 0 39 7 0 5 0 0 0 0
"Zotu262" 6 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2
"Zotu579" 2 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 1 1 0 0 18 0 0 0 6 23 1 10 0 4 0 2 1 0 0 0 0 0 0 3 1 1 0 0 0 0 0 0
"Zotu1924" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 11 1
"Zotu1121" 0 0 0 0 1 0 0 4 2 0 0 0 0 1 2 0 0 4 0 0 0 0 0 3 0 0 7 0 0 0 0 0 0 0 7 0 1 10 0 0 0 0 1 0 0 3 0 0
"Zotu1928" 2 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 1 0 0 0 0 0 0 1 0
"Zotu945" 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 7 0 0 0 0 0 0 5 3 5 0 0 0 1 0 1 0
"Zotu1462" 1 0 0 1 2 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 1 2 6 0 0 0
"Zotu1113" 0 0 0 0 0 0 0 2 0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 9 0 2 5 9 9 2 2 5 5 4 3 1 11 3 10 4 0 0 0 0 0 1 0
